PROSOFT : ProSoft 7.4
CRUISE-ID : Mc472
OPERATOR : Enzo Fab
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Mc472
CAST : A
TIME-STAMP : Tue Feb 27 12:02:11 2001
MODE : NONE
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 15:43:40
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : -0.28304
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
    02001058	   120221613	    00000013	1.04234355e-001	1.50036572e-001	2.50664604e-001	3.82917699e-001	4.59626416e-001	3.31219011e-001	2.10796923e-001	1.33853517e-001	2.70116446e-002	3.53956618e-003	2.69988494e-003	6.02229805e-003	4.77797882e-003	    02001058	   120222894	    00000013	1.53851573e+001	2.15787912e+001	2.84161061e+001	3.75835094e+001	3.94955323e+001	3.17848711e+001	2.84963212e+001	2.34720428e+001	6.50399315e+000	7.93518555e-001	1.20047534e-001	1.73269653e-001	1.27199242e-001	
    02001058	   120222725	    00000014	9.32852454e-002	1.35182816e-001	2.30134127e-001	3.55894613e-001	4.30058972e-001	3.08236501e-001	1.94603380e-001	1.22531290e-001	2.38179199e-002	3.14888656e-003	2.53100945e-003	5.79231164e-003	4.47258039e-003	    02001058	   120223995	    00000014	1.36670234e+001	1.92459805e+001	2.58589309e+001	3.46043601e+001	3.65156862e+001	2.90792556e+001	2.58508103e+001	2.10158979e+001	5.39827557e+000	5.75708349e-001	7.92419460e-002	1.41477700e-001	1.14141781e-001	
    02001058	   120223853	    00000015	8.24966281e-002	1.20403610e-001	2.08854879e-001	3.26995759e-001	3.97467866e-001	2.83163623e-001	1.77399971e-001	1.10630591e-001	2.07435428e-002	2.80136425e-003	2.35404708e-003	5.52735057e-003	4.17181073e-003	    02001058	   120225103	    00000015	1.26902483e+001	1.79297394e+001	2.47505549e+001	3.36751768e+001	3.56588313e+001	2.84397069e+001	2.47770296e+001	1.99046008e+001	4.84277981e+000	4.45556923e-001	5.70321331e-002	1.27265611e-001	1.08286874e-001	
    02001058	   120224953	    00000016	7.28399514e-002	1.07125267e-001	1.87609419e-001	3.01344718e-001	3.68942823e-001	2.61200079e-001	1.62124389e-001	1.00242495e-001	1.81036244e-002	2.47497581e-003	2.20058577e-003	5.28153464e-003	3.90188109e-003	    02001058	   120226218	    00000016	1.09548302e+001	1.53660193e+001	2.16076248e+001	2.97200866e+001	3.16002586e+001	2.52031660e+001	2.14130411e+001	1.69227780e+001	3.84100335e+000	3.19450952e-001	3.70265678e-002	1.05639799e-001	9.47577238e-002	
    02001058	   120226056	    00000017	6.39909473e-002	9.50105806e-002	1.68753678e-001	2.77909948e-001	3.42516532e-001	2.40045336e-001	1.48254919e-001	9.06341057e-002	1.57629965e-002	2.22093964e-003	2.05457806e-003	5.02052272e-003	3.63413571e-003	    02001058	   120227329	    00000017	9.66893096e+000	1.33746679e+001	1.93056196e+001	2.69988620e+001	2.88368335e+001	2.31718359e+001	1.89929804e+001	1.47059271e+001	3.13387709e+000	2.12455307e-001	2.49435220e-002	9.21218867e-002	8.55186626e-002	
    02001058	   120227179	    00000018	5.44271647e-002	8.14335224e-002	1.48236556e-001	2.48511738e-001	3.09163526e-001	2.00555016e-001	1.30071235e-001	7.82183954e-002	1.29372122e-002	1.89723644e-003	1.78881172e-003	4.35186862e-003	3.17988707e-003	    02001058	   120228475	    00000018	8.76875008e+000	1.21693661e+001	1.80464026e+001	2.56958733e+001	2.77725603e+001	2.21852235e+001	1.79600573e+001	1.37645349e+001	2.72228991e+000	1.59346896e-001	1.96135618e-002	8.60178051e-002	8.11156178e-002	
    02001058	   120228310	    00000019	4.90997076e-002	7.42372978e-002	1.38578407e-001	2.36087649e-001	2.95933818e-001	1.79815781e-001	1.22954708e-001	7.34396980e-002	1.17596349e-002	1.78260533e-003	1.71044146e-003	4.18592113e-003	3.02675759e-003	    02001058	   120229606	    00000019	7.82321823e+000	1.08632461e+001	1.64342178e+001	2.36907527e+001	2.57073953e+001	2.04320415e+001	1.63309383e+001	1.23582789e+001	2.31825386e+000	1.22680885e-001	1.62140025e-002	7.80965274e-002	7.44597937e-002	
    02001058	   120229482	    00000020	4.33726156e-002	6.60471022e-002	1.25783591e-001	2.16818759e-001	2.73560585e-001	1.65089900e-001	1.12010896e-001	6.61608131e-002	1.02909866e-002	1.60929180e-003	1.55257410e-003	3.77705033e-003	2.74383721e-003	    02001058	   120230780	    00000020	6.92388272e+000	9.60344334e+000	1.47546280e+001	2.14524406e+001	2.34348573e+001	1.85166678e+001	1.46048568e+001	1.09201028e+001	1.93833982e+000	9.40542062e-002	1.35124803e-002	7.01461778e-002	6.71221331e-002	
    02001058	   120230631	    00000021	3.80821467e-002	5.82907415e-002	1.12715637e-001	1.94326756e-001	2.49555438e-001	1.49603909e-001	1.00487740e-001	5.88503534e-002	8.94370351e-003	1.43886800e-003	1.38164085e-003	3.32975785e-003	2.45284917e-003	    02001058	   120231962	    00000021	6.37719205e+000	8.93142229e+000	1.41086778e+001	2.08740141e+001	2.30695978e+001	1.80128751e+001	1.42118336e+001	1.05242420e+001	1.74122797e+000	7.69790956e-002	1.21089782e-002	6.72772940e-002	6.48429348e-002	
    02001058	   120231785	    00000022	3.44251400e-002	5.31427192e-002	1.04872497e-001	1.79473115e-001	2.34102881e-001	1.41260779e-001	9.44187898e-002	5.49670044e-002	8.19044430e-003	1.35252235e-003	1.29296321e-003	3.11708729e-003	2.29766313e-003	    02001058	   120233111	    00000022	5.45308090e+000	7.65499836e+000	1.23298090e+001	1.84272356e+001	2.05439577e+001	1.58264282e+001	1.23475176e+001	8.97657589e+000	1.36593302e+000	5.59855118e-002	9.95745694e-003	5.82661075e-002	5.67440785e-002	
