PROSOFT : ProSoft 7.4
CRUISE-ID : Mc479
OPERATOR : enzo
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Missing
CAST : A
TIME-STAMP : Wed Apr 18 10:20:46 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 15:43:42
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0.083864
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
    02001108	   102056519	    00000011	2.05261843e-002	2.55452730e-002	3.31215887e-002	6.18701409e-002	9.58657350e-002	1.03607118e-001	1.11887330e-001	1.03111996e-001	2.62092824e-002	2.53925266e-003	3.24789999e-003	1.05606149e-002	4.94571470e-003	    02001108	   102057990	    00000011	5.04438364e+000	6.04203210e+000	7.64692414e+000	1.25603594e+001	1.69871792e+001	1.82339292e+001	2.00465064e+001	2.01600064e+001	7.31972669e+000	1.06412257e+000	1.78242297e-001	1.90450591e-001	1.00100453e-001	
    02001108	   102057788	    00000012	1.62970123e-002	2.03569474e-002	2.68541334e-002	5.17948094e-002	8.22514632e-002	8.93465196e-002	9.65811960e-002	8.89932030e-002	2.14217049e-002	1.94338156e-003	2.68373222e-003	8.71258838e-003	4.08805732e-003	    02001108	   102059176	    00000012	4.01723203e+000	4.82783379e+000	6.23148896e+000	1.05726647e+001	1.46127279e+001	1.58038338e+001	1.74908237e+001	1.76093537e+001	5.91515587e+000	7.25065477e-001	1.09276122e-001	1.37731295e-001	7.57300566e-002	
    02001108	   102059002	    00000013	1.29164571e-002	1.62017176e-002	2.17784173e-002	4.33864555e-002	7.06281378e-002	7.70879126e-002	8.33296551e-002	7.67589851e-002	1.75059229e-002	1.50704797e-003	2.22918740e-003	7.19990465e-003	3.39984141e-003	    02001108	   102100382	    00000013	3.24452622e+000	3.90111268e+000	5.11213987e+000	8.91201406e+000	1.25498956e+001	1.36407984e+001	1.51771626e+001	1.52418155e+001	4.77088875e+000	5.13254965e-001	7.06371607e-002	1.04745617e-001	6.02666443e-002	
    02001108	   102100246	    00000014	1.04061497e-002	1.31054464e-002	1.79098527e-002	3.67360546e-002	6.10371631e-002	6.67954465e-002	7.20584748e-002	6.62704878e-002	1.43906210e-002	1.19562696e-003	1.86250444e-003	5.94532007e-003	2.83012592e-003	    02001108	   102101771	    00000014	2.66491671e+000	3.21164167e+000	4.27795220e+000	7.66688678e+000	1.10002992e+001	1.20253184e+001	1.34455393e+001	1.35065390e+001	3.96284331e+000	3.85576760e-001	4.81907264e-002	8.36866681e-002	5.02175359e-002	
    02001108	   102101555	    00000015	8.55121240e-003	1.08236228e-002	1.50490122e-002	3.16562026e-002	5.34815671e-002	5.85699143e-002	6.29730162e-002	5.78098994e-002	1.20509046e-002	9.84259685e-004	1.58794301e-003	4.99075769e-003	2.39271761e-003	    02001108	   102103183	    00000015	2.10247912e+000	2.53920820e+000	3.43565443e+000	6.34459738e+000	9.30027386e+000	1.02281374e+001	1.14965349e+001	1.15457423e+001	3.13951366e+000	2.62199323e-001	3.16492892e-002	6.50634510e-002	4.08524564e-002	
    02001108	   102103026	    00000016	6.81075078e-003	8.66289654e-003	1.22861262e-002	2.65994328e-002	4.59052333e-002	5.03223569e-002	5.39472941e-002	4.93632393e-002	9.78397551e-003	7.88301201e-004	1.31731203e-003	4.07254576e-003	1.96975926e-003	    02001108	   102104560	    00000016	1.66505766e+000	2.01722687e+000	2.78428258e+000	5.31489369e+000	7.96800465e+000	8.81748846e+000	9.97464465e+000	1.00160401e+001	2.51857120e+000	1.76587096e-001	2.13407251e-002	5.18135825e-002	3.39394374e-002	
    02001108	   102104381	    00000017	5.45091692e-003	6.97698191e-003	1.01165128e-002	2.26170271e-002	3.98804475e-002	4.37823356e-002	4.67969639e-002	4.27119621e-002	8.05834540e-003	6.44477496e-004	1.11279040e-003	3.39352822e-003	1.66144563e-003	    02001108	   102105898	    00000017	1.34860272e+000	1.63702363e+000	2.30069333e+000	4.51511469e+000	6.89744732e+000	7.66021632e+000	8.69255536e+000	8.71760651e+000	2.04698930e+000	1.23371749e-001	1.54363127e-002	4.24584835e-002	2.87549913e-002	
    02001108	   102105720	    00000018	4.43486404e-003	5.71984635e-003	8.46784937e-003	1.94862490e-002	3.49589890e-002	3.83310431e-002	4.07514249e-002	3.70282451e-002	6.68744982e-003	5.36783854e-004	9.47220104e-004	2.85907111e-003	1.40961263e-003	    02001108	   102107251	    00000018	1.11450357e+000	1.35509365e+000	1.93422481e+000	3.88738958e+000	6.03880805e+000	6.72901471e+000	7.66065789e+000	7.67304324e+000	1.69462267e+000	8.92427631e-002	1.17965186e-002	3.56993998e-002	2.47901310e-002	
    02001108	   102107063	    00000019	3.69121717e-003	4.78652415e-003	7.22577545e-003	1.70168911e-002	3.09363045e-002	3.38071708e-002	3.56576238e-002	3.21910043e-002	5.59429182e-003	4.54133843e-004	8.07961947e-004	2.41411227e-003	1.20394456e-003	    02001108	   102108644	    00000019	8.96397291e-001	1.10240980e+000	1.59674484e+000	3.29246217e+000	5.20819754e+000	5.82758432e+000	6.65675634e+000	6.66932919e+000	1.38133379e+000	6.36112815e-002	9.09916639e-003	2.98199596e-002	2.14229186e-002	
    02001108	   102108443	    00000020	3.05760816e-003	3.99191228e-003	6.16087817e-003	1.48455953e-002	2.73066609e-002	2.96596607e-002	3.10075440e-002	2.77601520e-002	4.62584652e-003	3.83488275e-004	6.81330585e-004	2.00504103e-003	1.01367890e-003	    02001108	   102110024	    00000020	7.04908647e-001	8.64470819e-001	1.29492654e+000	2.75021107e+000	4.44412370e+000	4.99497595e+000	5.72958691e+000	5.73650715e+000	1.10218148e+000	4.36030094e-002	7.02451798e-003	2.46969040e-002	1.79193970e-002	
    02001108	   102109837	    00000021	2.50289159e-003	3.29827417e-003	5.22633283e-003	1.29091068e-002	2.40281484e-002	2.58823755e-002	2.67346731e-002	2.36686513e-002	3.75166606e-003	3.19761361e-004	5.61224905e-004	1.61873417e-003	8.31947686e-004	    02001108	   102111324	    00000021	5.62586980e-001	6.82965410e-001	1.03618221e+000	2.32084227e+000	3.83036362e+000	4.32527814e+000	4.98497310e+000	4.98916150e+000	8.78097259e-001	3.08190849e-002	5.59805541e-003	2.07911294e-002	1.53250461e-002	
    02001108	   102111161	    00000022	2.09434647e-003	2.79011617e-003	4.53654029e-003	1.14685782e-002	2.15426129e-002	2.29869763e-002	2.34201953e-002	2.04958578e-002	3.10419399e-003	2.73219271e-004	4.68658956e-004	1.33120678e-003	6.96760724e-004	    02001108	   102112701	    00000022	4.61751213e-001	5.64079640e-001	7.72341595e-001	1.99905116e+000	3.35517336e+000	3.80061252e+000	4.39399229e+000	4.39467928e+000	7.21298354e-001	2.23936413e-002	4.62771610e-003	1.77706950e-002	1.33022991e-002	
    02001108	   102112525	    00000023	1.79992873e-003	2.42261552e-003	4.03617056e-003	1.03733484e-002	1.95384499e-002	2.05800683e-002	2.06206284e-002	1.77756230e-002	2.59069416e-003	2.36500076e-004	3.87703078e-004	1.07496143e-003	5.76127357e-004	    02001108	   102114310	    00000023	3.85680694e-001	4.72915711e-001	6.37602349e-001	1.73187322e+000	2.94743220e+000	3.34403012e+000	3.87092425e+000	3.86257945e+000	5.99824470e-001	1.68850183e-002	3.88875023e-003	1.52552340e-002	1.15680393e-002	
