,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
402.5,1.1262900E+00,9.9700100E-01,8.7916600E-01,7.7169600E-01,6.5506000E-01,5.5110000E-01,4.4768600E-01,3.4623900E-01,2.5447900E-01,1.8141700E-01,1.2659100E-01,9.1549500E-02,6.5506200E-02,4.8460600E-02,3.6381300E-02,2.7950600E-02,2.2137300E-02,1.8066400E-02,1.5000700E-02,1.2664600E-02,1.0871000E-02,9.4066200E-03,8.1718600E-03,7.1570500E-03,6.3101100E-03,5.5987000E-03,4.9878500E-03,4.4650800E-03,4.0058300E-03,3.6137600E-03,3.2653100E-03,2.9620200E-03,2.6952400E-03,2.4546300E-03,2.2376700E-03,2.0464900E-03,1.8747600E-03,1.7190800E-03,1.5753500E-03,1.4431000E-03,1.3231800E-03
407.5,1.0955700E+00,9.7537100E-01,8.6520400E-01,7.6410600E-01,6.5244700E-01,5.5219200E-01,4.5116700E-01,3.5086600E-01,2.5925600E-01,1.8578200E-01,1.3031100E-01,9.4739000E-02,6.8142300E-02,5.0683300E-02,3.8258500E-02,2.9558200E-02,2.3547700E-02,1.9334100E-02,1.6153200E-02,1.3724400E-02,1.1857700E-02,1.0328400E-02,9.0323500E-03,7.9638700E-03,7.0688400E-03,6.3146800E-03,5.6668300E-03,5.1086300E-03,4.6148200E-03,4.1927500E-03,3.8151100E-03,3.4855300E-03,3.1951400E-03,2.9308300E-03,2.6908200E-03,2.4787400E-03,2.2871000E-03,2.1118300E-03,1.9492700E-03,1.7982400E-03,1.6605500E-03
412.5,1.1811700E+00,1.0540300E+00,9.3728700E-01,8.2980200E-01,7.1018300E-01,6.0232300E-01,4.9312400E-01,3.8414700E-01,2.8422900E-01,2.0391300E-01,1.4316400E-01,1.0420400E-01,7.5025100E-02,5.5873700E-02,4.2234200E-02,3.2680000E-02,2.6082200E-02,2.1460200E-02,1.7969800E-02,1.5305900E-02,1.3259800E-02,1.1581100E-02,1.0156900E-02,8.9810100E-03,7.9960400E-03,7.1650200E-03,6.4497100E-03,5.8331500E-03,5.2868800E-03,4.8192500E-03,4.3999300E-03,4.0336100E-03,3.7104200E-03,3.4152500E-03,3.1464400E-03,2.9087100E-03,2.6930500E-03,2.4958800E-03,2.3117700E-03,2.1402200E-03,1.9830900E-03
417.5,1.1939900E+00,1.0657500E+00,9.4802500E-01,8.3964200E-01,7.1878000E-01,6.0996300E-01,4.9941800E-01,3.8900600E-01,2.8775500E-01,2.0636900E-01,1.4481800E-01,1.0535300E-01,7.5814500E-02,5.6431900E-02,4.2634400E-02,3.2975400E-02,2.6309100E-02,2.1643500E-02,1.8123400E-02,1.5438200E-02,1.3377900E-02,1.1688300E-02,1.0253000E-02,9.0704500E-03,8.0805300E-03,7.2450800E-03,6.5264400E-03,5.9070800E-03,5.3582200E-03,4.8884100E-03,4.4670200E-03,4.0991100E-03,3.7745300E-03,3.4777800E-03,3.2073900E-03,2.9683900E-03,2.7513900E-03,2.5528400E-03,2.3673100E-03,2.1940600E-03,2.0353200E-03
422.5,1.1844600E+00,1.0561300E+00,9.3854200E-01,8.3046200E-01,7.1032800E-01,6.0226400E-01,4.9284300E-01,3.8382800E-01,2.8400000E-01,2.0376800E-01,1.4307600E-01,1.0407600E-01,7.4896900E-02,5.5726700E-02,4.2076600E-02,3.2519100E-02,2.5919000E-02,2.1298100E-02,1.7813200E-02,1.5155000E-02,1.3116500E-02,1.1447100E-02,1.0030200E-02,8.8633300E-03,7.8871300E-03,7.0649600E-03,6.3581500E-03,5.7489500E-03,5.2097100E-03,4.7486700E-03,4.3353800E-03,3.9749700E-03,3.6571800E-03,3.3669700E-03,3.1029200E-03,2.8696700E-03,2.6581800E-03,2.4642600E-03,2.2836800E-03,2.1150600E-03,1.9607300E-03
427.5,1.0919400E+00,9.7243500E-01,8.6313900E-01,7.6288700E-01,6.5185000E-01,5.5215700E-01,4.5139500E-01,3.5126000E-01,2.5975600E-01,1.8627600E-01,1.3073200E-01,9.5020600E-02,6.8320500E-02,5.0776100E-02,3.8294700E-02,2.9557300E-02,2.3524500E-02,1.9302300E-02,1.6120300E-02,1.3695400E-02,1.1836700E-02,1.0315700E-02,9.0264600E-03,7.9660900E-03,7.0796200E-03,6.3338800E-03,5.6934400E-03,5.1417700E-03,4.6541400E-03,4.2376900E-03,3.8649600E-03,3.5398800E-03,3.2536000E-03,2.9925100E-03,2.7552300E-03,2.5453200E-03,2.3555400E-03,2.1817500E-03,2.0200300E-03,1.8692400E-03,1.7311200E-03
432.5,1.0791100E+00,9.5951100E-01,8.5037900E-01,7.5049200E-01,6.4023200E-01,5.4141000E-01,4.4189100E-01,3.4330900E-01,2.5343700E-01,1.8141900E-01,1.2707500E-01,9.2175500E-02,6.6142700E-02,4.9057600E-02,3.6921800E-02,2.8438700E-02,2.2588300E-02,1.8498000E-02,1.5418700E-02,1.3075800E-02,1.1281700E-02,9.8161100E-03,8.5764800E-03,7.5568700E-03,6.7056300E-03,5.9904900E-03,5.3770600E-03,4.8495100E-03,4.3837900E-03,3.9863700E-03,3.6308600E-03,3.3213300E-03,3.0489700E-03,2.8008600E-03,2.5756900E-03,2.3764600E-03,2.1967100E-03,2.0323600E-03,1.8795900E-03,1.7373400E-03,1.6073100E-03
437.5,1.2575400E+00,1.1131300E+00,9.8209600E-01,8.6288100E-01,7.3297400E-01,6.1721200E-01,5.0176500E-01,3.8846700E-01,2.8591600E-01,2.0409600E-01,1.4257800E-01,1.0307900E-01,7.3722600E-02,5.4472000E-02,4.0833300E-02,3.1318200E-02,2.4762500E-02,2.0182200E-02,1.6742400E-02,1.4129300E-02,1.2131600E-02,1.0504000E-02,9.1331300E-03,8.0091900E-03,7.0734800E-03,6.2895800E-03,5.6193000E-03,5.0447500E-03,4.5394300E-03,4.1097500E-03,3.7258700E-03,3.3928900E-03,3.1005900E-03,2.8358000E-03,2.5964200E-03,2.3856800E-03,2.1961100E-03,2.0232500E-03,1.8633100E-03,1.7150800E-03,1.5800700E-03
442.5,1.3401300E+00,1.1802700E+00,1.0361000E+00,9.0579300E-01,7.6613700E-01,6.4235900E-01,5.2046600E-01,4.0205800E-01,2.9561500E-01,2.1092600E-01,1.4733900E-01,1.0637600E-01,7.5994200E-02,5.6031400E-02,4.1896300E-02,3.2031600E-02,2.5228500E-02,2.0468300E-02,1.6897400E-02,1.4186200E-02,1.2113900E-02,1.0430200E-02,9.0185700E-03,7.8633900E-03,6.9045900E-03,6.1025300E-03,5.4200600E-03,4.8367600E-03,4.3263900E-03,3.8925400E-03,3.5082500E-03,3.1755300E-03,2.8847800E-03,2.6208500E-03,2.3862800E-03,2.1795600E-03,1.9942400E-03,1.8261900E-03,1.6717500E-03,1.5296200E-03,1.4006300E-03
447.5,1.4047400E+00,1.2301100E+00,1.0736400E+00,9.3329400E-01,7.8597600E-01,6.5611800E-01,5.3014600E-01,4.0928900E-01,3.0140000E-01,2.1562400E-01,1.5111800E-01,1.0923400E-01,7.8165200E-02,5.7629200E-02,4.3057600E-02,3.2858400E-02,2.5796900E-02,2.0836700E-02,1.7113300E-02,1.4285300E-02,1.2120800E-02,1.0367400E-02,8.9049200E-03,7.7107000E-03,6.7221400E-03,5.8985700E-03,5.2004200E-03,4.6062600E-03,4.0894900E-03,3.6513500E-03,3.2660000E-03,2.9336100E-03,2.6444600E-03,2.3855600E-03,2.1544300E-03,1.9525100E-03,1.7725200E-03,1.6107700E-03,1.4631800E-03,1.3286800E-03,1.2074600E-03
