,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
402.5,1.1256500E+00,9.8739300E-01,8.6238500E-01,7.4831600E-01,6.4637100E-01,5.5480200E-01,4.6699600E-01,3.8458800E-01,3.0800300E-01,2.3462100E-01,1.6345700E-01,9.9995400E-02,5.6052000E-02,2.9702400E-02,1.8623200E-02,1.2820800E-02,9.4492600E-03,7.6275700E-03,6.5488900E-03,5.6946200E-03,4.9663500E-03,4.3358500E-03,3.7988400E-03,3.3354600E-03,2.9175300E-03,2.5542600E-03,2.2353700E-03,1.9602700E-03,1.7217600E-03,1.5093600E-03,1.3244100E-03,1.1608500E-03,1.0191600E-03,8.9471900E-04,7.8476100E-04,6.8649300E-04,6.0320900E-04,5.3031000E-04,4.6711600E-04,4.1018900E-04,3.6020800E-04
407.5,1.0949500E+00,9.6589000E-01,8.4855600E-01,7.4067400E-01,6.4365400E-01,5.5584700E-01,4.7069800E-01,3.8993000E-01,3.1408300E-01,2.4056900E-01,1.6845800E-01,1.0353500E-01,5.8291600E-02,3.1021300E-02,1.9540700E-02,1.3520100E-02,1.0018300E-02,8.1358300E-03,7.0310200E-03,6.1544400E-03,5.4035400E-03,4.7495200E-03,4.1887500E-03,3.7022600E-03,3.2598800E-03,2.8727300E-03,2.5307600E-03,2.2341600E-03,1.9753300E-03,1.7429700E-03,1.5397600E-03,1.3583600E-03,1.2003300E-03,1.0602900E-03,9.3601400E-04,8.2412200E-04,7.2881800E-04,6.4501400E-04,5.7195300E-04,5.0560500E-04,4.4693100E-04
412.5,1.1805200E+00,1.0436800E+00,9.1905800E-01,8.0414800E-01,7.0055300E-01,6.0649100E-01,5.1478600E-01,4.2738300E-01,3.4493800E-01,2.6463000E-01,1.8548600E-01,1.1403300E-01,6.4192100E-02,3.4143900E-02,2.1509900E-02,1.4892300E-02,1.1048000E-02,8.9898400E-03,7.7900500E-03,6.8383900E-03,6.0211900E-03,5.3076900E-03,4.6948900E-03,4.1619500E-03,3.6738200E-03,3.2468800E-03,2.8686800E-03,2.5399600E-03,2.2521900E-03,1.9928200E-03,1.7651400E-03,1.5618000E-03,1.3841200E-03,1.2261400E-03,1.0855900E-03,9.5851300E-04,8.5010800E-04,7.5454900E-04,6.7101700E-04,5.9478300E-04,5.2724800E-04
417.5,1.1933600E+00,1.0552000E+00,9.2941600E-01,8.1342300E-01,7.0882000E-01,6.1383000E-01,5.2113900E-01,4.3271300E-01,3.4924200E-01,2.6789200E-01,1.8773300E-01,1.1539500E-01,6.4947800E-02,3.4538900E-02,2.1740200E-02,1.5038200E-02,1.1147700E-02,9.0677200E-03,7.8580800E-03,6.9004700E-03,6.0784200E-03,5.3611500E-03,4.7448000E-03,4.2083600E-03,3.7168100E-03,3.2865100E-03,2.9049500E-03,2.5733400E-03,2.2829400E-03,2.0212700E-03,1.7913100E-03,1.5857100E-03,1.4060500E-03,1.2463300E-03,1.1041100E-03,9.7536400E-04,8.6555500E-04,7.6885400E-04,6.8427800E-04,6.0698200E-04,5.3839400E-04
422.5,1.1838900E+00,1.0457200E+00,9.2013700E-01,8.0458900E-01,7.0049600E-01,6.0609800E-01,5.1418200E-01,4.2665800E-01,3.4416800E-01,2.6399000E-01,1.8517600E-01,1.1412600E-01,6.4468300E-02,3.4429800E-02,2.1697400E-02,1.5008200E-02,1.1117300E-02,9.0310900E-03,7.8167800E-03,6.8554500E-03,6.0314700E-03,5.3131400E-03,4.6967200E-03,4.1612400E-03,3.6714200E-03,3.2429900E-03,2.8634500E-03,2.5336800E-03,2.2455900E-03,1.9861800E-03,1.7584500E-03,1.5552200E-03,1.3776700E-03,1.2199900E-03,1.0796800E-03,9.5284400E-04,8.4488400E-04,7.4957400E-04,6.6632400E-04,5.9046200E-04,5.2323400E-04
427.5,1.0914300E+00,9.6282900E-01,8.4617100E-01,7.3901000E-01,6.4266000E-01,5.5541700E-01,4.7067300E-01,3.9014300E-01,3.1444000E-01,2.4101200E-01,1.6903300E-01,1.0426300E-01,5.8981600E-02,3.1553600E-02,1.9879300E-02,1.3736700E-02,1.0161000E-02,8.2402800E-03,7.1211100E-03,6.2358600E-03,5.4787600E-03,4.8188700E-03,4.2544500E-03,3.7645100E-03,3.3177100E-03,2.9268500E-03,2.5810100E-03,2.2809600E-03,2.0192500E-03,1.7837800E-03,1.5775700E-03,1.3934300E-03,1.2329300E-03,1.0905000E-03,9.6388500E-04,8.4966200E-04,7.5243500E-04,6.6685100E-04,5.9212400E-04,5.2405000E-04,4.6383600E-04
432.5,1.0786200E+00,9.5000000E-01,8.3358000E-01,7.2691600E-01,6.3116700E-01,5.4466000E-01,4.6084300E-01,3.8139400E-01,3.0688900E-01,2.3483600E-01,1.6443000E-01,1.0126900E-01,5.7192300E-02,3.0542600E-02,1.9198000E-02,1.3234300E-02,9.7664500E-03,7.9032700E-03,6.8174600E-03,5.9604500E-03,5.2281300E-03,4.5908200E-03,4.0464900E-03,3.5752700E-03,3.1456500E-03,2.7708500E-03,2.4399800E-03,2.1535500E-03,1.9035700E-03,1.6791700E-03,1.4827900E-03,1.3078300E-03,1.1554600E-03,1.0204900E-03,9.0037800E-04,7.9254400E-04,7.0086700E-04,6.2028300E-04,5.5000200E-04,4.8605000E-04,4.2960700E-04
437.5,1.2570400E+00,1.1021600E+00,9.6273700E-01,8.3575000E-01,7.2243500E-01,6.2065600E-01,5.2289800E-01,4.3096000E-01,3.4542700E-01,2.6344100E-01,1.8406000E-01,1.1333800E-01,6.4071300E-02,3.4269400E-02,2.1498700E-02,1.4770200E-02,1.0853700E-02,8.7389000E-03,7.4990300E-03,6.5234000E-03,5.6920600E-03,4.9737700E-03,4.3628700E-03,3.8362900E-03,3.3597500E-03,2.9458900E-03,2.5818300E-03,2.2678600E-03,1.9955300E-03,1.7524000E-03,1.5404100E-03,1.3526000E-03,1.1896800E-03,1.0461400E-03,9.1928900E-04,8.0561500E-04,7.0934400E-04,6.2495200E-04,5.5169500E-04,4.8554800E-04,4.2730000E-04
442.5,1.3396700E+00,1.1689100E+00,1.0160800E+00,8.7783600E-01,7.5520500E-01,6.4579200E-01,5.4177000E-01,4.4484000E-01,3.5543200E-01,2.7055500E-01,1.8910300E-01,1.1689500E-01,6.6476800E-02,3.5811000E-02,2.2504900E-02,1.5448400E-02,1.1322600E-02,9.0727700E-03,7.7399400E-03,6.6923600E-03,5.8067200E-03,5.0443000E-03,4.3988800E-03,3.8457300E-03,3.3485800E-03,2.9195000E-03,2.5445600E-03,2.2233600E-03,1.9456200E-03,1.6991700E-03,1.4854300E-03,1.2972700E-03,1.1348900E-03,9.9245500E-04,8.6765000E-04,7.5632000E-04,6.6227700E-04,5.8036100E-04,5.0960800E-04,4.4601400E-04,3.9037600E-04
447.5,1.4043500E+00,1.2187900E+00,1.0537200E+00,9.0556400E-01,7.7499600E-01,6.5936500E-01,5.5077900E-01,4.5067300E-01,3.5921600E-01,2.7340500E-01,1.9187300E-01,1.1983200E-01,6.9107900E-02,3.7837300E-02,2.3947300E-02,1.6479700E-02,1.2070900E-02,9.6288600E-03,8.1562800E-03,7.0024500E-03,6.0327400E-03,5.2066100E-03,4.5091900E-03,3.9147300E-03,3.3868500E-03,2.9333700E-03,2.5396900E-03,2.2040800E-03,1.9158400E-03,1.6620400E-03,1.4433300E-03,1.2523000E-03,1.0882900E-03,9.4568600E-04,8.2122300E-04,7.1130600E-04,6.1876800E-04,5.3873400E-04,4.6992800E-04,4.0867000E-04,3.5541400E-04
