,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
402.5,1.5295040E+00,1.3811720E+00,1.2314250E+00,1.0853420E+00,9.4830400E-01,8.1998020E-01,6.9406300E-01,5.7422620E-01,4.6103630E-01,3.5176110E-01,2.4557410E-01,1.5091880E-01,8.5126260E-02,4.5804550E-02,2.9150180E-02,2.0375440E-02,1.5303080E-02,1.2538010E-02,1.0820900E-02,9.4275500E-03,8.2315600E-03,7.1916330E-03,6.3035960E-03,5.5311910E-03,4.8390460E-03,4.2373230E-03,3.7092510E-03,3.2532950E-03,2.8564650E-03,2.5041880E-03,2.1971480E-03,1.9259230E-03,1.6908570E-03,1.4841780E-03,1.3015370E-03,1.1394270E-03,1.0015210E-03,8.8072900E-04,7.7532300E-04,6.8093680E-04,5.9828870E-04
407.5,1.4864310E+00,1.3492320E+00,1.2098020E+00,1.0725450E+00,9.4279300E-01,8.2018800E-01,6.9844290E-01,5.8130000E-01,4.6942760E-01,3.6017430E-01,2.5277910E-01,1.5610750E-01,8.8462500E-02,4.7809050E-02,3.0576730E-02,2.1492550E-02,1.6243420E-02,1.3402800E-02,1.1651120E-02,1.0222670E-02,8.9892000E-03,7.9096100E-03,6.9804280E-03,6.1667650E-03,5.4317760E-03,4.7880640E-03,4.2194980E-03,3.7260080E-03,3.2936500E-03,2.9063070E-03,2.5675250E-03,2.2654130E-03,2.0019420E-03,1.7680050E-03,1.5606750E-03,1.3752630E-03,1.2167310E-03,1.0771790E-03,9.5464600E-04,8.4403700E-04,7.4653100E-04
412.5,1.5935150E+00,1.4491480E+00,1.3023440E+00,1.1574120E+00,1.0199930E+00,8.8971030E-01,7.5959550E-01,6.3377020E-01,5.1302130E-01,3.9445590E-01,2.7727490E-01,1.7138620E-01,9.7140020E-02,5.2461830E-02,3.3544970E-02,2.3588520E-02,1.7845270E-02,1.4753730E-02,1.2861940E-02,1.1318650E-02,9.9809000E-03,8.8081300E-03,7.7967100E-03,6.9085020E-03,6.1005730E-03,5.3934230E-03,4.7666990E-03,4.2217640E-03,3.7424390E-03,3.3118920E-03,2.9335520E-03,2.5958550E-03,2.3007020E-03,2.0377370E-03,1.8039940E-03,1.5941550E-03,1.4145260E-03,1.2559170E-03,1.1162460E-03,9.8959300E-04,8.7773300E-04
417.5,1.5991070E+00,1.4540840E+00,1.3069680E+00,1.1618580E+00,1.0243250E+00,8.9398310E-01,7.6366590E-01,6.3752250E-01,5.1636840E-01,3.9726790E-01,2.7944850E-01,1.7285510E-01,9.8006110E-02,5.2897360E-02,3.3766070E-02,2.3700890E-02,1.7897160E-02,1.4779090E-02,1.2879120E-02,1.1334780E-02,9.9986000E-03,8.8267100E-03,7.8165600E-03,6.9290640E-03,6.1212830E-03,5.4139180E-03,4.7866000E-03,4.2413440E-03,3.7616880E-03,3.3304880E-03,2.9514800E-03,2.6130050E-03,2.3169110E-03,2.0532080E-03,1.8187190E-03,1.6080110E-03,1.4273770E-03,1.2681800E-03,1.1281040E-03,1.0007990E-03,8.8817800E-04
422.5,1.5714480E+00,1.4271200E+00,1.2814140E+00,1.1383050E+00,1.0029220E+00,8.7494460E-01,7.4730470E-01,6.2391860E-01,5.0556090E-01,3.8940230E-01,2.7457490E-01,1.7052700E-01,9.7122450E-02,5.2619500E-02,3.3586910E-02,2.3539770E-02,1.7728420E-02,1.4595470E-02,1.2693100E-02,1.1150140E-02,9.8201300E-03,8.6563500E-03,7.6540400E-03,6.7769110E-03,5.9798080E-03,5.2824690E-03,4.6647950E-03,4.1279440E-03,3.6570420E-03,3.2344220E-03,2.8632270E-03,2.5322770E-03,2.2430030E-03,1.9857030E-03,1.7570560E-03,1.5517020E-03,1.3762460E-03,1.2212410E-03,1.0849940E-03,9.6152100E-04,8.5241900E-04
427.5,1.4359500E+00,1.3021390E+00,1.1677080E+00,1.0360890E+00,9.1201440E-01,7.9499730E-01,6.7865820E-01,5.6636080E-01,4.5890010E-01,3.5357460E-01,2.4958700E-01,1.5532360E-01,8.8652850E-02,4.8092140E-02,3.0653720E-02,2.1433390E-02,1.6091100E-02,1.3203890E-02,1.1454630E-02,1.0042810E-02,8.8292600E-03,7.7688520E-03,6.8593690E-03,6.0646110E-03,5.3445550E-03,4.7146550E-03,4.1576310E-03,3.6739720E-03,3.2509290E-03,2.8712650E-03,2.5388160E-03,2.2421010E-03,1.9835720E-03,1.7539300E-03,1.5499720E-03,1.3670990E-03,1.2108700E-03,1.0732330E-03,9.5241300E-04,8.4293400E-04,7.4634510E-04
432.5,1.4069280E+00,1.2734820E+00,1.1400970E+00,1.0101430E+00,8.8791480E-01,7.7306130E-01,6.5920880E-01,5.4956340E-01,4.4488060E-01,3.4250990E-01,2.4163110E-01,1.5028730E-01,8.5681650E-02,4.6378460E-02,2.9464020E-02,2.0528470E-02,1.5351930E-02,1.2552390E-02,1.0861320E-02,9.5033500E-03,8.3382170E-03,7.3226460E-03,6.4534140E-03,5.6964430E-03,5.0111240E-03,4.4131140E-03,3.8855810E-03,3.4289500E-03,3.0293180E-03,2.6714720E-03,2.3583050E-03,2.0797700E-03,1.8369920E-03,1.6217990E-03,1.4305570E-03,1.2598370E-03,1.1142250E-03,9.8619700E-04,8.7381100E-04,7.7220450E-04,6.8272260E-04
437.5,1.6183320E+00,1.4580120E+00,1.2994280E+00,1.1462580E+00,1.0034039E+00,8.7025400E-01,7.3953850E-01,6.1456940E-01,4.9619360E-01,3.8132640E-01,2.6892900E-01,1.6752860E-01,9.5703820E-02,5.1852690E-02,3.2822700E-02,2.2744900E-02,1.6891470E-02,1.3706140E-02,1.1781080E-02,1.0247320E-02,8.9385150E-03,7.8075260E-03,6.8446000E-03,6.0114020E-03,5.2625170E-03,4.6123570E-03,4.0411040E-03,3.5482830E-03,3.1201320E-03,2.7389280E-03,2.4066000E-03,2.1126530E-03,1.8575020E-03,1.6326250E-03,1.4341850E-03,1.2572770E-03,1.1069830E-03,9.7525100E-04,8.6032560E-04,7.5712070E-04,6.6641880E-04
442.5,1.7056400E+00,1.5289720E+00,1.3559420E+00,1.1905500E+00,1.0375032E+00,8.9613980E-01,7.5894740E-01,6.2893840E-01,5.0685050E-01,3.8939870E-01,2.7526420E-01,1.7246290E-01,9.9223610E-02,5.4117530E-02,3.4258090E-02,2.3669100E-02,1.7480830E-02,1.4074260E-02,1.2005670E-02,1.0369130E-02,8.9871680E-03,7.7992090E-03,6.7938940E-03,5.9311490E-03,5.1602550E-03,4.4957340E-03,3.9161960E-03,3.4196010E-03,2.9899770E-03,2.6098750E-03,2.2802240E-03,1.9906220E-03,1.7406070E-03,1.5213860E-03,1.3295410E-03,1.1592000E-03,1.0147840E-03,8.8901960E-04,7.8009040E-04,6.8264530E-04,5.9751200E-04
447.5,1.7695300E+00,1.5774630E+00,1.3913630E+00,1.2153470E+00,1.0538897E+00,9.0623320E-01,7.6492950E-01,6.3240600E-01,5.0916800E-01,3.9189800E-01,2.7883180E-01,1.7692680E-01,1.0338589E-01,5.7281160E-02,3.6445620E-02,2.5181240E-02,1.8521940E-02,1.4792860E-02,1.2502530E-02,1.0708055E-02,9.2062250E-03,7.9321780E-03,6.8577960E-03,5.9429760E-03,5.1360260E-03,4.4436320E-03,3.8439480E-03,3.3328170E-03,2.8939300E-03,2.5087860E-03,2.1770070E-03,1.8878510E-03,1.6395320E-03,1.4238540E-03,1.2358670E-03,1.0704726E-03,9.3078820E-04,8.1004220E-04,7.0607590E-04,6.1391240E-04,5.3384180E-04
