,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
402.5,1.5351430E+00,1.3937350E+00,1.2498460E+00,1.1078630E+00,9.5078600E-01,8.0600910E-01,6.5965540E-01,5.1453230E-01,3.8227750E-01,2.7550970E-01,1.9445030E-01,1.4169210E-01,1.0234170E-01,7.6260740E-02,5.7717620E-02,4.4742030E-02,3.5761130E-02,2.9400340E-02,2.4578920E-02,2.0882530E-02,1.8008820E-02,1.5646780E-02,1.3650470E-02,1.2006070E-02,1.0627050E-02,9.4581300E-03,8.4533300E-03,7.5857700E-03,6.8258600E-03,6.1697340E-03,5.5878920E-03,5.0770250E-03,4.6243500E-03,4.2150210E-03,3.8467250E-03,3.5196320E-03,3.2245830E-03,2.9560210E-03,2.7084240E-03,2.4805020E-03,2.2744740E-03
407.5,1.4920070E+00,1.3616460E+00,1.2280250E+00,1.0950090E+00,9.4522300E-01,8.0604600E-01,6.6353610E-01,5.2049840E-01,3.8885280E-01,2.8177150E-01,1.9994800E-01,1.4651130E-01,1.0640310E-01,7.9743390E-02,6.0709950E-02,4.7350450E-02,3.8092640E-02,3.1528970E-02,2.6541980E-02,2.2710770E-02,1.9727100E-02,1.7265020E-02,1.5172950E-02,1.3444090E-02,1.1988190E-02,1.0750600E-02,9.6848700E-03,8.7573000E-03,7.9397200E-03,7.2316300E-03,6.5990300E-03,6.0420000E-03,5.5464090E-03,5.0936070E-03,4.6836380E-03,4.3176870E-03,3.9855160E-03,3.6800120E-03,3.3967930E-03,3.1331830E-03,2.8939450E-03
412.5,1.5994200E+00,1.4625810E+00,1.3222000E+00,1.1820070E+00,1.0227670E+00,8.7428150E-01,7.2140220E-01,5.6707410E-01,4.2437070E-01,3.0794890E-01,2.1876650E-01,1.6050010E-01,1.1668020E-01,8.7557790E-02,6.6750380E-02,5.2142620E-02,4.2025470E-02,3.4860900E-02,2.9416830E-02,2.5237330E-02,2.1985680E-02,1.9297310E-02,1.7010830E-02,1.5119440E-02,1.3527320E-02,1.2169560E-02,1.0999810E-02,9.9806100E-03,9.0808800E-03,8.2999400E-03,7.6015700E-03,6.9849900E-03,6.4353500E-03,5.9313850E-03,5.4736870E-03,5.0648340E-03,4.6912740E-03,4.3477480E-03,4.0271010E-03,3.7288280E-03,3.4561360E-03
417.5,1.6048780E+00,1.4676290E+00,1.3271840E+00,1.1871190E+00,1.0277970E+00,8.7933650E-01,7.2600410E-01,5.7096420E-01,4.2738040E-01,3.1011250E-01,2.2021180E-01,1.6147280E-01,1.1730320E-01,8.7957990E-02,6.6997730E-02,5.2291360E-02,4.2111690E-02,3.4913290E-02,2.9450640E-02,2.5260470E-02,2.2005780E-02,1.9317960E-02,1.7029790E-02,1.5140220E-02,1.3551850E-02,1.2197100E-02,1.1031510E-02,1.0015930E-02,9.1195100E-03,8.3417200E-03,7.6457400E-03,7.0317300E-03,6.4848500E-03,5.9828100E-03,5.5266310E-03,5.1193480E-03,4.7468420E-03,4.4040810E-03,4.0839080E-03,3.7854710E-03,3.5125500E-03
422.5,1.5766960E+00,1.4401750E+00,1.3012170E+00,1.1632650E+00,1.0068123E+00,8.6139450E-01,7.1141440E-01,5.5993180E-01,4.1955210E-01,3.0471900E-01,2.1654130E-01,1.5875830E-01,1.1529520E-01,8.6384990E-02,6.5722240E-02,5.1216790E-02,4.1168190E-02,3.4064260E-02,2.8678510E-02,2.4549530E-02,2.1347000E-02,1.8708450E-02,1.6464500E-02,1.4613560E-02,1.3058590E-02,1.1736760E-02,1.0600080E-02,9.6112000E-03,8.7388900E-03,7.9836900E-03,7.3085300E-03,6.7140500E-03,6.1850480E-03,5.7003440E-03,5.2606020E-03,4.8685200E-03,4.5106960E-03,4.1809850E-03,3.8740010E-03,3.5879850E-03,3.3266590E-03
427.5,1.4405870E+00,1.3140640E+00,1.1859730E+00,1.0594720E+00,9.1657720E-01,7.8371570E-01,6.4708160E-01,5.0929420E-01,3.8163820E-01,2.7714890E-01,1.9687240E-01,1.4421480E-01,1.0460892E-01,7.8259900E-02,5.9440450E-02,4.6228380E-02,3.7074200E-02,3.0608820E-02,2.5712950E-02,2.1964230E-02,1.9060960E-02,1.6672560E-02,1.4645510E-02,1.2975050E-02,1.1573840E-02,1.0385170E-02,9.3638500E-03,8.4768400E-03,7.6954700E-03,7.0203600E-03,6.4178770E-03,5.8878930E-03,5.4170830E-03,4.9865130E-03,4.5960720E-03,4.2485090E-03,3.9319640E-03,3.6407850E-03,3.3700110E-03,3.1181080E-03,2.8878070E-03
432.5,1.4112460E+00,1.2851220E+00,1.1581480E+00,1.0333446E+00,8.9288400E-01,7.6260920E-01,6.2901720E-01,4.9460490E-01,3.7017990E-01,2.6842670E-01,1.9031640E-01,1.3911580E-01,1.0067898E-01,7.5139890E-02,5.6924280E-02,4.4150830E-02,3.5309330E-02,2.9074950E-02,2.4361030E-02,2.0758970E-02,1.7973430E-02,1.5687460E-02,1.3752390E-02,1.2158460E-02,1.0823150E-02,9.6932200E-03,8.7234400E-03,7.8834900E-03,7.1443870E-03,6.5071110E-03,5.9384750E-03,5.4395550E-03,4.9970990E-03,4.5932470E-03,4.2274970E-03,3.9020500E-03,3.6064840E-03,3.3352230E-03,3.0833220E-03,2.8493430E-03,2.6358020E-03
437.5,1.6226960E+00,1.4710010E+00,1.3200020E+00,1.1732490E+00,1.0102837E+00,8.6003480E-01,7.0736340E-01,5.5493510E-01,4.1447870E-01,2.9987430E-01,2.1206920E-01,1.5447890E-01,1.1137499E-01,8.2757230E-02,6.2391780E-02,4.8132160E-02,3.8267770E-02,3.1321870E-02,2.6086880E-02,2.2094580E-02,1.9017800E-02,1.6502980E-02,1.4384620E-02,1.2645040E-02,1.1193180E-02,9.9698400E-03,8.9238000E-03,8.0220860E-03,7.2314470E-03,6.5533850E-03,5.9493510E-03,5.4215440E-03,4.9558300E-03,4.5336060E-03,4.1527900E-03,3.8154560E-03,3.5107190E-03,3.2322620E-03,2.9750050E-03,2.7372030E-03,2.5209070E-03
442.5,1.7095140E+00,1.5419080E+00,1.3769430E+00,1.2185290E+00,1.0456919E+00,8.8712250E-01,7.2802560E-01,5.7061790E-01,4.2617340E-01,3.0838570E-01,2.1810900E-01,1.5863840E-01,1.1418452E-01,8.4612960E-02,6.3573040E-02,4.8828810E-02,3.8613510E-02,3.1417050E-02,2.6003580E-02,2.1879470E-02,1.8707180E-02,1.6124880E-02,1.3962280E-02,1.2189700E-02,1.0715870E-02,9.4782000E-03,8.4253420E-03,7.5222220E-03,6.7341560E-03,6.0600700E-03,5.4644830E-03,4.9465420E-03,4.4920090E-03,4.0796620E-03,3.7141350E-03,3.3904580E-03,3.0997430E-03,2.8358140E-03,2.5939190E-03,2.3714440E-03,2.1701110E-03
447.5,1.7727300E+00,1.5897730E+00,1.4118390E+00,1.2431630E+00,1.0631715E+00,8.9899210E-01,7.3670000E-01,5.7793600E-01,4.3284360E-01,3.1429210E-01,2.2308120E-01,1.6242710E-01,1.1704121E-01,8.6664820E-02,6.4998800E-02,4.9763540E-02,3.9160580E-02,3.1670500E-02,2.6038260E-02,2.1749680E-02,1.8452350E-02,1.5781220E-02,1.3558530E-02,1.1741060E-02,1.0235320E-02,8.9792580E-03,7.9144090E-03,7.0071130E-03,6.2201060E-03,5.5501170E-03,4.9625060E-03,4.4542660E-03,4.0111510E-03,3.6153010E-03,3.2626710E-03,2.9536430E-03,2.6780570E-03,2.4305400E-03,2.2054210E-03,2.0006810E-03,1.8164800E-03
