,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
457.5,1.4600600E+00,1.1228900E+00,8.5091000E-01,6.4188800E-01,4.8686400E-01,3.7262600E-01,2.8859800E-01,2.2668900E-01,1.8094700E-01,1.4564600E-01,1.1713900E-01,9.4143600E-02,7.5612700E-02,6.0694100E-02,4.8693300E-02,3.9046800E-02
462.5,1.4514400E+00,1.1232000E+00,8.5667400E-01,6.5039900E-01,4.9633600E-01,3.8204500E-01,2.9745700E-01,2.3476900E-01,1.8819600E-01,1.5208300E-01,1.2280200E-01,9.9084600E-02,7.9899400E-02,6.4391600E-02,5.1866700E-02,4.1758300E-02
467.5,1.4513600E+00,1.1289400E+00,8.6570900E-01,6.6074900E-01,5.0671200E-01,3.9177100E-01,3.0623500E-01,2.4252200E-01,1.9496800E-01,1.5795800E-01,1.2787700E-01,1.0345100E-01,8.3638300E-02,6.7581500E-02,5.4579200E-02,4.4058000E-02
472.5,1.4639500E+00,1.1435700E+00,8.8084900E-01,6.7522100E-01,5.1982700E-01,4.0327200E-01,3.1611900E-01,2.5091100E-01,2.0203800E-01,1.6389100E-01,1.3285200E-01,1.0762300E-01,8.7132400E-02,7.0503700E-02,5.7020200E-02,4.6094300E-02
477.5,1.4976300E+00,1.1722900E+00,9.0495700E-01,6.9508100E-01,5.3590100E-01,4.1611300E-01,3.2627400E-01,2.5887600E-01,2.0822500E-01,1.6868000E-01,1.3655600E-01,1.1048300E-01,8.9336000E-02,7.2198500E-02,5.8320400E-02,4.7089600E-02
482.5,1.4853200E+00,1.1647200E+00,9.0081300E-01,6.9308900E-01,5.3504500E-01,4.1576900E-01,3.2608000E-01,2.5863400E-01,2.0783300E-01,1.6816400E-01,1.3598000E-01,1.0988900E-01,8.8754400E-02,7.1648000E-02,5.7812000E-02,4.6624800E-02
487.5,1.3823700E+00,1.0863100E+00,8.4207900E-01,6.4926500E-01,5.0205600E-01,3.9060000E-01,3.0654300E-01,2.4315800E-01,1.9530000E-01,1.5788400E-01,1.2756700E-01,1.0301300E-01,8.3133400E-02,6.7062000E-02,5.4073400E-02,4.3582700E-02
492.5,1.4693000E+00,1.1537900E+00,8.9378700E-01,6.8852800E-01,5.3170500E-01,4.1290800E-01,3.2327500E-01,2.5566400E-01,2.0458800E-01,1.6473600E-01,1.3258800E-01,1.0665400E-01,8.5750600E-02,6.8912000E-02,5.5356800E-02,4.4450800E-02
497.5,1.4539600E+00,1.1378600E+00,8.7839300E-01,6.7410300E-01,5.1827000E-01,4.0043400E-01,3.1169800E-01,2.4489800E-01,1.9453300E-01,1.5544100E-01,1.2415000E-01,9.9111800E-02,7.9087700E-02,6.3082900E-02,5.0294000E-02,4.0086900E-02
502.5,1.3994200E+00,1.0837000E+00,8.2755500E-01,6.2793300E-01,4.7698200E-01,3.6384100E-01,2.7939100E-01,2.1637600E-01,1.6926900E-01,1.3314800E-01,1.0470200E-01,8.2308000E-02,6.4681400E-02,5.0811700E-02,3.9903500E-02,3.1325500E-02
507.5,1.4583600E+00,1.1045400E+00,8.2440800E-01,6.1100500E-01,4.5297500E-01,3.3698300E-01,2.5217700E-01,1.9019300E-01,1.4479100E-01,1.1080500E-01,8.4791400E-02,6.4870700E-02,4.9619200E-02,3.7941700E-02,2.9009100E-02,2.2175400E-02
512.5,1.4241500E+00,1.0479600E+00,7.5932200E-01,5.4595400E-01,3.9237200E-01,2.8279600E-01,2.0491200E-01,1.4953300E-01,1.1009000E-01,8.1464200E-02,6.0293200E-02,4.4625200E-02,3.3027800E-02,2.4443500E-02,1.8089600E-02,1.3387000E-02
517.5,1.3205000E+00,9.5769000E-01,6.8366900E-01,4.8410600E-01,3.4245800E-01,2.4281800E-01,1.7299200E-01,1.2407400E-01,8.9720700E-02,6.5197600E-02,4.7394500E-02,3.4458700E-02,2.5056300E-02,1.8221100E-02,1.3251700E-02,9.6385000E-03
522.5,1.4167700E+00,1.0289500E+00,7.3563500E-01,5.2160700E-01,3.6934300E-01,2.6202100E-01,1.8669500E-01,1.3384600E-01,9.6692900E-02,7.0177300E-02,5.0952500E-02,3.7001100E-02,2.6872700E-02,1.9518500E-02,1.4178100E-02,1.0299800E-02
527.5,1.3941900E+00,1.0116100E+00,7.2259700E-01,5.1182000E-01,3.6190200E-01,2.5628200E-01,1.8220400E-01,1.3028300E-01,9.3830000E-02,6.7876500E-02,4.9123000E-02,3.5558400E-02,2.5743800E-02,1.8639900E-02,1.3497800E-02,9.7755600E-03
532.5,1.4108400E+00,1.0191400E+00,7.2469200E-01,5.1090100E-01,3.5944700E-01,2.5319100E-01,1.7899000E-01,1.2721100E-01,9.1035000E-02,6.5426200E-02,4.7045100E-02,3.3837300E-02,2.4342200E-02,1.7514400E-02,1.2604000E-02,9.0716500E-03
537.5,1.4232300E+00,1.0215400E+00,7.2169300E-01,5.0538900E-01,3.5308600E-01,2.4689900E-01,1.7321800E-01,1.2214300E-01,8.6690800E-02,6.1785500E-02,4.4061200E-02,3.1433200E-02,2.2429800E-02,1.6009000E-02,1.1428700E-02,8.1609500E-03
542.5,1.3950700E+00,9.8894900E-01,6.8984600E-01,4.7687100E-01,3.2878200E-01,2.2682700E-01,1.5697100E-01,1.0914900E-01,7.6382300E-02,5.3674300E-02,3.7744900E-02,2.6555600E-02,1.8691000E-02,1.3160000E-02,9.2691300E-03,6.5313900E-03
