PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : Missing
OPERATOR : Unknown
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Thu Apr 29 14:01:40 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:39:53
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values													
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu
34	0.06256947	0.05891116	0.04881934	0.04431449	0.04277207	0.05010939	0.05863605	0.06273864	0.05312787	0.04904815	0.04974093	0.036363	0.04021035
35	0.06284415	0.0577707	0.04766661	0.04297252	0.04120147	0.04815156	0.05604085	0.06000874	0.04975372	0.04646928	0.04690153	0.03269448	0.04207942
36	0.07048835	0.06345185	0.05343614	0.0487674	0.04710093	0.05461527	0.06261208	0.06662467	0.05505407	0.05203603	0.0518956	0.03876651	0.05236896
37	0.07405892	0.06586559	0.05522913	0.05035717	0.04865631	0.05600138	0.06442121	0.06794616	0.05574259	0.05431576	0.05369871	0.04141779	0.05922729
38	0.06912406	0.06102288	0.05034589	0.04528308	0.04311757	0.04904301	0.05569003	0.05830672	0.04527076	0.04369019	0.04320053	0.02623299	0.05432675
39	0.07185925	0.06593092	0.05472516	0.04932517	0.04712259	0.05376652	0.06117009	0.06378798	0.05045363	0.05013291	0.04881169	0.02996797	0.05172255
40	0.07389538	0.06884168	0.05721645	0.05146687	0.04910907	0.05576486	0.06330084	0.06556184	0.05211761	0.05208816	0.04883198	0.02538512	0.05142974
41	0.07661747	0.07186096	0.05951191	0.05344318	0.05094552	0.05777127	0.06530645	0.06738124	0.05341026	0.05370433	0.04771294	0.02138428	0.05134228
42	0.07836694	0.07552669	0.06084227	0.05442854	0.05182509	0.05843811	0.06584568	0.06737956	0.05284081	0.05358566	0.04529087	0.01584669	0.05009645
43	0.07867224	0.07691305	0.06080563	0.05408415	0.05132965	0.05745718	0.06419419	0.06519599	0.04995019	0.05133107	0.0418576	0.0097524	0.04833873
44	0.08042698	0.07846226	0.06201828	0.05498518	0.05222332	0.0583873	0.06532827	0.06614186	0.05046374	0.05287185	0.04393511	0.01383625	0.0500909
45	0.07985653	0.07638981	0.06079004	0.05344229	0.05038415	0.05588179	0.0621846	0.06237236	0.04630277	0.04925238	0.04072816	0.01284718	0.04739752
46	0.08340049	0.07797577	0.06377752	0.05623756	0.05294569	0.05882195	0.06536214	0.06545227	0.04897474	0.05218408	0.04419341	0.02236269	0.05080832
47	0.08621497	0.08049838	0.06628493	0.05843974	0.05511567	0.06108404	0.0676768	0.06739616	0.05000944	0.05302243	0.04586842	0.02839299	0.0540322
48	0.08751287	0.08166869	0.06825299	0.05889846	0.0573525	0.06134742	0.06806705	0.06729223	0.04972256	0.04843026	0.04554778	0.03102954	0.05567643
49	0.08973739	0.08377776	0.07162713	0.06045731	0.06019312	0.06324981	0.07047725	0.06957417	0.05172925	0.05267538	0.04845045	0.03509807	0.05876458
50	0.08929641	0.08322179	0.07121886	0.05944116	0.05921307	0.06185688	0.06905644	0.06766003	0.05008229	0.05383178	0.04572069	0.03009085	0.05680728
51	0.08854281	0.08255904	0.06991612	0.0590059	0.05740928	0.06075336	0.0675883	0.06605702	0.04946865	0.05486475	0.03910173	0.02291929	0.05324393
52	0.09115144	0.08536537	0.07112061	0.06293023	0.05822296	0.06387162	0.07097244	0.06961684	0.0534261	0.06111133	0.04108777	0.02058215	0.05462905
53	0.08895108	0.08322308	0.0679121	0.06196564	0.05509759	0.06040753	0.06721614	0.06545355	0.05033614	0.05369039	0.03669866	0.01012658	0.04861782
54	0.08811937	0.08237922	0.06704584	0.06110516	0.0535138	0.05853614	0.06520428	0.06324074	0.04891843	0.05239425	0.03387267	0.00264265	0.04460925
55	0.08927328	0.08355205	0.06806507	0.06125408	0.05422207	0.05909112	0.06568183	0.06337707	0.04920298	0.0530265	0.03202909	-0.00285218	0.0427032
56	0.09142734	0.08569515	0.06998483	0.0614498	0.05585908	0.06067805	0.06718662	0.06457829	0.05026939	0.0535686	0.02761513	-0.00361415	0.04180504
57	0.09406744	0.08837402	0.07244715	0.06259833	0.05790564	0.0628026	0.0696807	0.06669621	0.05181715	0.05477155	0.02506544	-0.0032395	0.04292146
58	0.09225186	0.08647787	0.0704143	0.06033853	0.05540477	0.05961703	0.0658292	0.06248497	0.0474467	0.04900183	0.01341015	-0.01591399	0.03432247
