PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : Missing
OPERATOR : Unknown
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Thu Apr 29 14:01:40 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:39:53
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values													
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu
13	0.02224627	0.0173084	0.00723711	0.00415973	0.00503884	0.01978544	0.03205037	0.04624371	0.12101631	0.26005466	0.37540637	0.20200744	0.06022358
14	0.05756515	0.05427123	0.04853116	0.04785317	0.04861562	0.06569904	0.08053815	0.09655871	0.17476745	0.3167391	0.42933402	0.21615823	0.0859877
15	0.03762785	0.03292872	0.02639064	0.02478359	0.02585529	0.04173031	0.0535947	0.06945948	0.14334913	0.27582223	0.37123225	0.14171757	0.04945194
16	0.06804514	0.06397242	0.05929923	0.05924114	0.0622211	0.07963693	0.09220113	0.11006045	0.18750855	0.31922792	0.40313129	0.15565784	0.08099996
17	0.05679946	0.05301477	0.04594731	0.04492337	0.04769125	0.06415541	0.07700696	0.09445325	0.17247232	0.29616686	0.36583988	0.11942707	0.06654388
18	0.03676639	0.03230138	0.02466682	0.0231093	0.02426151	0.03936112	0.05093954	0.06709079	0.13905495	0.24317107	0.29301886	0.07462523	0.03893221
19	0.06851052	0.06513265	0.06021434	0.06064927	0.06298282	0.0795353	0.09261388	0.11004975	0.18309527	0.27149605	0.29533177	0.10022515	0.07514106
20	0.03637562	0.03339293	0.02461412	0.02349113	0.0237838	0.03872703	0.05286396	0.06872886	0.14220396	0.22157528	0.22193751	0.05309353	0.03779055
21	0.04292449	0.03839312	0.03110352	0.02953238	0.02982271	0.04601575	0.05880517	0.07469587	0.1464705	0.21316827	0.18886709	0.05304372	0.04062501
22	0.05197556	0.04844901	0.04090463	0.03992659	0.04128531	0.05687769	0.07047043	0.08670094	0.15808735	0.20991028	0.1661636	0.05999732	0.05372573
23	0.04093988	0.03656087	0.02828297	0.02643177	0.02655197	0.04173731	0.05462508	0.06997797	0.13871421	0.1725348	0.11945384	0.04229326	0.0377494
24	0.05027796	0.04569573	0.0379587	0.03636106	0.03778994	0.05306904	0.06518181	0.08144199	0.14984382	0.16587109	0.10524501	0.05133837	0.048884
25	0.05054818	0.04671761	0.0383569	0.03697577	0.03816695	0.05343594	0.06673747	0.0832183	0.15281112	0.15351801	0.0893611	0.05029952	0.0494236
26	0.04386497	0.03881674	0.02952859	0.02717557	0.02826112	0.04312945	0.05567628	0.07130355	0.13895292	0.1261343	0.0671782	0.03958139	0.03931282
27	0.05364763	0.04875352	0.04066911	0.03890708	0.04026911	0.055713	0.06867261	0.08437308	0.15050057	0.12029034	0.06713868	0.05049137	0.05032184
28	0.04979243	0.04521405	0.03587822	0.03389436	0.03480054	0.04977798	0.06284192	0.07818068	0.1440172	0.10285223	0.05611334	0.04492416	0.04574224
29	0.03870007	0.03401903	0.02344478	0.02071048	0.02130179	0.03553219	0.04759729	0.06283694	0.1250198	0.07875994	0.03962124	0.03144162	0.03229571
30	0.04784814	0.043563	0.03415746	0.03196358	0.03275662	0.04762629	0.05961058	0.07539783	0.13648016	0.07837252	0.04660014	0.04192482	0.04192259
31	0.05259192	0.04818205	0.03805156	0.03587336	0.03718951	0.05172111	0.06415742	0.07964066	0.14054221	0.07471258	0.04749901	0.04548428	0.04718127
32	0.04860804	0.04344209	0.03346249	0.0307958	0.03151292	0.0460916	0.05820381	0.07344752	0.13380599	0.06178396	0.04076318	0.0396319	0.04067795
33	0.05447162	0.04953228	0.04009813	0.03800028	0.03917881	0.05418955	0.06665528	0.08313002	0.14520215	0.06435993	0.04696583	0.0470514	0.04825776
34	0.05130929	0.04656364	0.03616336	0.033489	0.03423963	0.0493432	0.06238862	0.07829909	0.13835445	0.05569675	0.04083443	0.04217071	0.04354543
35	0.05792518	0.05365061	0.04402502	0.04204356	0.04287991	0.05794067	0.07133342	0.08711141	0.14450288	0.05902291	0.04762172	0.04981029	0.05103266
36	0.06024752	0.05607312	0.04594708	0.04393327	0.04489347	0.059734	0.07340849	0.08873216	0.14489815	0.05851371	0.04855689	0.05142211	0.05352098
37	0.04812427	0.04287839	0.03137871	0.02816152	0.02857498	0.04264655	0.05526814	0.06956503	0.12379559	0.04138767	0.03444636	0.035717	0.03768904
38	0.05522337	0.05048092	0.04087198	0.03858653	0.03942189	0.05424611	0.06706387	0.08309177	0.13595571	0.04901198	0.04381277	0.04581908	0.04736522
39	0.05416827	0.04976306	0.03964931	0.03697215	0.03773432	0.05280957	0.06586408	0.08151231	0.13321325	0.04610534	0.04277839	0.04401682	0.04572951
40	0.05743212	0.0534622	0.04408582	0.04198466	0.04288885	0.05813607	0.07150163	0.08795043	0.13787946	0.04931928	0.04730171	0.04862763	0.05003259
41	0.05289859	0.04905812	0.03885818	0.03613276	0.03673764	0.05126248	0.06411447	0.07988242	0.1280091	0.04354565	0.04111274	0.04254094	0.04437485
42	0.0536616	0.04886254	0.03880202	0.0362837	0.03705177	0.05137612	0.06353849	0.07988243	0.12616385	0.04308833	0.04077045	0.04254689	0.04410199
43	0.05305987	0.04838794	0.03824049	0.03559382	0.03634036	0.05051975	0.06261873	0.07919721	0.12380933	0.04202742	0.03801805	0.0414544	0.04351491
44	0.05281407	0.04839906	0.03775196	0.03461129	0.03495002	0.04880557	0.06069719	0.07628431	0.11850387	0.04032311	0.03449426	0.03936865	0.0417157
45	0.05907687	0.05482669	0.04482236	0.04204593	0.04250488	0.05659664	0.06845902	0.08470137	0.12410568	0.04673824	0.0393944	0.04601598	0.04842139
46	0.05727188	0.05277758	0.04134279	0.03777255	0.03791036	0.05152869	0.06355008	0.07865608	0.11643822	0.04288555	0.0344408	0.0415911	0.04452978
47	0.05911389	0.05407201	0.04238589	0.03846123	0.03856734	0.05234044	0.06408987	0.07978479	0.11631753	0.04335326	0.03552304	0.04238197	0.044961
48	0.06157954	0.05589766	0.04369152	0.03969408	0.03979681	0.05365739	0.06568569	0.08149459	0.11663754	0.04459251	0.03792384	0.04415082	0.04642844
49	0.06359785	0.05785087	0.04529315	0.04114015	0.04108396	0.05456168	0.06648751	0.08233683	0.11517738	0.04574432	0.03972393	0.04561369	0.04745801
50	0.06623413	0.06038376	0.04797296	0.04364769	0.04347359	0.05671485	0.06794888	0.08402052	0.11323177	0.04742501	0.04251799	0.04796321	0.04931175
51	0.07132886	0.06524852	0.05269254	0.048733	0.04867376	0.06159985	0.07291754	0.08910574	0.11538654	0.0521099	0.04819799	0.05309889	0.05419276
52	0.06961791	0.06366259	0.05003898	0.04505078	0.04460336	0.05727239	0.06818829	0.08435473	0.10886892	0.04906587	0.04403976	0.04938631	0.05048356
53	0.06973796	0.06353155	0.04909227	0.04379315	0.04317202	0.05588246	0.06718404	0.08320003	0.10654282	0.04796535	0.04246003	0.04800842	0.04906569
54	0.07033421	0.0641511	0.04910365	0.04355767	0.04260354	0.05502244	0.06639679	0.08200095	0.10381213	0.04758956	0.04050814	0.04695234	0.0484768
55	0.07409877	0.06798074	0.05317396	0.04738005	0.04659631	0.05941915	0.07082597	0.08661574	0.10500772	0.05071018	0.04148777	0.05012107	0.05195654
56	0.07624721	0.07016343	0.05515143	0.04950543	0.04882431	0.06134649	0.07282496	0.08870019	0.10490109	0.05300196	0.04162491	0.05162186	0.05408413
57	0.0723007	0.06597757	0.05011461	0.0437551	0.04238178	0.0539459	0.06457306	0.07988637	0.09518498	0.04785897	0.03319642	0.04488917	0.04755004
58	0.07572718	0.06929541	0.05357744	0.04735364	0.04618393	0.05824221	0.06949791	0.08426298	0.09744431	0.05059281	0.03653087	0.04843236	0.05097844
59	0.07719015	0.07096136	0.05518791	0.04905362	0.04777696	0.05952674	0.07083044	0.08386038	0.09635862	0.0526339	0.03851955	0.04988658	0.05273269
60	0.07825509	0.07190043	0.05591482	0.04947043	0.04799414	0.05937163	0.07021692	0.08383469	0.09325752	0.05294607	0.03609134	0.04926839	0.05261395
61	0.08085344	0.07460667	0.05818607	0.05113313	0.04959783	0.06099701	0.07201525	0.08645738	0.0928585	0.05444025	0.02973995	0.04934473	0.05405526
62	0.0788737	0.07250629	0.05475089	0.04621922	0.04393698	0.05420104	0.06430535	0.0790823	0.08333526	0.04979136	0.01137136	0.04077425	0.04774771
63	0.08497139	0.07863076	0.06089338	0.05207997	0.04955524	0.05980056	0.07013699	0.08508638	0.08528221	0.05392032	0.00666884	0.04322303	0.05196148
64	0.08926781	0.0833972	0.0659526	0.05714876	0.05455086	0.06433535	0.07444898	0.0881278	0.08737988	0.05904757	0.01205649	0.04785317	0.05690759
65	0.08669927	0.08079579	0.06312588	0.05413826	0.05111112	0.05988441	0.0692464	0.08236367	0.0812332	0.05663673	0.01874249	0.0469344	0.05483859
66	0.08712387	0.0812085	0.06376812	0.05449591	0.05163767	0.06067941	0.07034878	0.08321148	0.08041278	0.05668029	0.03154659	0.05117981	0.05635704
67	0.08922583	0.08339074	0.06595741	0.05645173	0.05372032	0.0631069	0.07314357	0.08613424	0.08190895	0.0592023	0.04139389	0.05546367	0.05923296
68	0.09104133	0.08518601	0.06779515	0.05833504	0.05560931	0.06497556	0.07528297	0.0882068	0.08255813	0.06097641	0.04027394	0.0560005	0.06072545
69	0.09077691	0.08491899	0.06743364	0.05790029	0.05482091	0.06353423	0.07333484	0.08589037	0.07971765	0.06117897	0.03236503	0.05187879	0.05891022
70	0.09104353	0.08506794	0.06755867	0.05798799	0.05461039	0.06304562	0.0725329	0.08466239	0.07831407	0.06202545	0.02746653	0.04941077	0.05835504
71	0.09147474	0.0856216	0.06826709	0.05880568	0.05544276	0.06390546	0.0731833	0.08521467	0.07726025	0.06276816	0.02840635	0.05015127	0.0585046
72	0.09117971	0.08551046	0.06814397	0.0588791	0.05550135	0.06399496	0.07333898	0.08536112	0.07676726	0.06338542	0.03517144	0.05283896	0.05929709
73	0.08891874	0.08325926	0.06573279	0.056205	0.05286871	0.06139012	0.07079515	0.08257396	0.07396864	0.06046367	0.03959985	0.05351251	0.05725567
74	0.08875964	0.08312641	0.06562105	0.05586195	0.05249733	0.06111948	0.07043633	0.08236512	0.07271059	0.05978274	0.04475613	0.05568048	0.0571809
75	0.08954594	0.08416661	0.06701551	0.05744509	0.05409063	0.06279613	0.07177837	0.08429564	0.07369019	0.06289996	0.05313571	0.05903721	0.05941451
76	0.08866769	0.08431995	0.06736592	0.05789524	0.0544933	0.06324783	0.07178458	0.08478261	0.07248117	0.06415189	0.06085821	0.06090948	0.05988012
77	0.08676409	0.08298793	0.06615196	0.05675486	0.05323769	0.06185731	0.0701692	0.08318693	0.07129028	0.06231956	0.05917711	0.0600162	0.05934742
78	0.08570008	0.08201019	0.06543709	0.05605146	0.05248654	0.06113606	0.06968018	0.08225036	0.07205363	0.06138414	0.05867561	0.05893322	0.05905729
79	0.08656918	0.08241283	0.06598997	0.05646801	0.05289672	0.06154037	0.07070844	0.08293726	0.07384239	0.06109861	0.0583182	0.05924423	0.0595653
80	0.08597459	0.08132584	0.06496635	0.05553357	0.05180249	0.06020312	0.06944056	0.08151848	0.07278137	0.06163422	0.05944561	0.0585115	0.05914885
81	0.08500448	0.08054795	0.06415227	0.05476292	0.05095923	0.05926752	0.06849562	0.08065298	0.07067766	0.0618173	0.06129894	0.05867568	0.05814013
82	0.08520683	0.08097893	0.06434885	0.05491277	0.05122733	0.05969554	0.06901213	0.08142599	0.07244003	0.0626167	0.06485797	0.06006316	0.05873363
83	0.08499279	0.08188564	0.06431126	0.05521786	0.05159011	0.060126	0.06956764	0.08211052	0.07301793	0.06343083	0.06798583	0.06188388	0.05957637
84	0.0831865	0.08061795	0.0627462	0.05400006	0.05062524	0.05894657	0.06849832	0.08085391	0.07177359	0.06131151	0.06855781	0.06134625	0.0580473
85	0.08032626	0.07775128	0.0604594	0.05194885	0.04886948	0.05691696	0.06654063	0.07888759	0.0692448	0.05935426	0.06608434	0.0592635	0.05579532
86	0.07839855	0.0752512	0.05917857	0.05088483	0.04795648	0.05579836	0.06540254	0.07777388	0.0660627	0.05692841	0.0576744	0.0569627	0.05271421
87	0.07843374	0.07437149	0.05961969	0.05130802	0.04851079	0.05649393	0.06604871	0.07851366	0.06797437	0.05772301	0.0614663	0.05642833	0.05342339
88	0.07879126	0.07454879	0.05997258	0.05186914	0.04888617	0.05686302	0.06637526	0.0787839	0.06726816	0.05765772	0.06238853	0.05637045	0.0549925
89	0.07848656	0.07417734	0.05949683	0.05164852	0.0485267	0.05628617	0.06556793	0.07764311	0.06495514	0.05719715	0.06340283	0.05548548	0.05451929
90	0.07851881	0.0741958	0.05945568	0.0515547	0.04858561	0.05623698	0.06567723	0.07773666	0.06691967	0.0586971	0.06632575	0.05602128	0.05576122
91	0.07869852	0.07422531	0.05939366	0.05127591	0.04834754	0.05585462	0.06545227	0.07736675	0.06777149	0.05997986	0.06652562	0.05563118	0.05499446
92	0.07907711	0.07462864	0.05939572	0.05113997	0.04824308	0.05559312	0.06520594	0.07690061	0.06730004	0.05974601	0.0605736	0.05448945	0.05370051
93	0.08013396	0.07588495	0.06038225	0.05189274	0.04889338	0.05622757	0.06581497	0.07735632	0.06411522	0.05753715	0.05121605	0.05347772	0.05356678
94	0.08096325	0.07668508	0.06089485	0.05252572	0.04935458	0.05644637	0.06586838	0.07709666	0.06284583	0.05556569	0.04378294	0.05282014	0.05316914
95	0.08186862	0.07750018	0.06140785	0.05317401	0.05005991	0.05707336	0.06647145	0.07754464	0.06522916	0.05657658	0.05018461	0.0541402	0.05379567
96	0.08241441	0.07787973	0.06163636	0.05327976	0.05027384	0.05753601	0.06713078	0.07835942	0.06732087	0.05949013	0.06491933	0.0556958	0.05506572
97	0.08173776	0.0770424	0.06027327	0.05214191	0.0492928	0.05672023	0.06639918	0.07765764	0.06561233	0.05989447	0.06764734	0.05655154	0.05443778
98	0.08122092	0.07658446	0.05966108	0.05130167	0.04853427	0.05626684	0.06613926	0.07745226	0.05978195	0.05829953	0.06747617	0.05785208	0.05274085
99	0.08075268	0.07601411	0.05888513	0.05064596	0.04785714	0.05592043	0.06596493	0.07727982	0.06213333	0.05773701	0.07635048	0.05967119	0.05348821
100	0.08021893	0.07525263	0.05769563	0.04955208	0.04688936	0.0553456	0.06548802	0.07656242	0.06169948	0.05702355	0.08071033	0.06151949	0.05142531
101	0.08013965	0.07493438	0.05671963	0.04845818	0.04600973	0.05508265	0.06544788	0.0765338	0.06267174	0.05762214	0.08653414	0.06156488	0.05143191
102	0.0798628	0.07467479	0.05565886	0.04751809	0.04534692	0.05480012	0.06532856	0.07617756	0.06244834	0.05844092	0.08182658	0.05862953	0.05333888
103	0.07940806	0.07438058	0.05504808	0.0470811	0.0451046	0.05452219	0.06513487	0.07589864	0.04970385	0.05447357	0.05716276	0.05429725	0.05086823
104	0.07906158	0.07390414	0.05440076	0.0465471	0.04467694	0.05415205	0.06477884	0.07552017	0.04488157	0.0492426	0.0556001	0.05086252	0.04979079
105	0.07894701	0.07372925	0.05400969	0.04605583	0.04434203	0.05391795	0.06468433	0.07496551	0.05030477	0.04694672	0.06182771	0.05214811	0.04395928
106	0.07911628	0.07368934	0.05379141	0.04574094	0.04409238	0.05385109	0.06469825	0.07488646	0.05308345	0.04442026	0.06824182	0.05403625	0.04037188
107	0.07962176	0.07396479	0.05358059	0.04510676	0.04359897	0.05372716	0.06476035	0.07432519	0.07443851	0.04707056	0.10091814	0.05757205	0.0406214

Level 4 Product: Surface Optical Data													
Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	
399.8	412.2	442	470.1	490.4	509.8	531.7	554.5	590.2	619	665.6	683.3	700.4	
1.50299895	1.92603598	2.05273759	2.01350338	1.5472204	0.99522223	0.6545838	0.41404089	0.14079088	0.0404065	0.01599549	0.01217983	0.00652172	

Level 4 Product: Surface Optical Data												
Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)	Ed(0-)
399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2
99.97911231	112.5828666	114.916303	121.5056747	125.0604473	124.1724994	127.2337567	111.0052344	98.11364882	94.34752014	89.00712009	71.66379207	48.90127976

Level 4 Product: Water Leaving Radiances												
Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)	Lw-Lu(0+)
399.8	412.2	442	470.1	490.4	509.8	531.7	554.5	590.2	619	665.6	683.3	700.4
0.8133862	1.04232348	1.11089128	1.08965869	0.83731777	0.53858988	0.35424471	0.22406878	0.07619257	0.02186701	0.00865637	0.00659143	0.0035294

Level 4 Product: Water Leaving Radiances												
Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)	Lwn-Lu(0+)/Ed(0+)
399.8	411.85	442.3	469.95	490.65	509.7	531.6	554.7	589.8	619.2	665.65	682.9	700.3
1.14685674	1.53112212	1.71845735	1.71818651	1.21914882	0.80211319	0.50545446	0.35979601	0.1330154	0.03778999	0.01448704	0.01307521	0.00976596

Level 4 Product: Surface Remote Sensing Reflectances												
RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)	RSR-Lu(0+)/Ed(0+)
399.8	411.85	442.3	469.95	490.65	509.7	531.6	554.7	589.8	619.2	665.65	682.9	700.3
0.00780015	0.00887658	0.00926842	0.00859824	0.00641928	0.00415861	0.00266942	0.00193532	0.00074456	0.00022222	0.00009325	0.00008819	0.0000692

Level 4 Product: Surface Reflectances												
RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)	RFL-Eu(0+)/Ed(0+)
399.8	411.85	442.3	469.95	490.65	509.7	531.6	554.7	589.8	619.2	665.65	682.9	700.3
3.51006961	3.99446318	4.17078802	3.86920847	2.888674	1.87137564	1.20123848	0.87089561	0.33505139	0.09999702	0.04196035	0.03968331	0.03113926

Level 4 Product: Photosynthetically Available Radiation												
Profiler PAR	Profiler PAR	Profiler PAR										
Depth	Profiler Par	% Par (0+)										
3	5.71625E+16	75.39182851										
4	5.10938E+16	67.38769677										
5	5.10405E+16	67.31744276										
6	4.75617E+16	62.72921994										
7	3.99593E+16	52.70241684
8	4.45894E+16	58.8091067
9	4.30938E+16	56.83650372
10	3.71865E+16	49.04539574
11	3.5035E+16	46.20776234
12	3.75149E+16	49.47851893
13	3.30515E+16	43.59174776
14	3.43064E+16	45.24674986
15	3.25025E+16	42.86765885
16	2.70323E+16	35.65301296
17	3.01861E+16	39.81257669
18	2.42156E+16	31.93799563
19	2.5179E+16	33.20869146
20	2.4511E+16	32.32759555
21	2.05919E+16	27.15875467
22	2.22569E+16	29.35474151
23	2.13467E+16	28.15421337
24	1.84748E+16	24.36643972
25	1.86559E+16	24.60538214
26	1.86879E+16	24.64747172
27	1.6627E+16	21.92934573
28	1.61238E+16	21.26567276
29	1.56263E+16	20.60961856
30	1.5409E+16	20.32299082
31	1.45531E+16	19.19411926
32	1.35328E+16	17.84841418
33	1.32405E+16	17.46296822
34	1.31815E+16	17.38513331
35	1.16079E+16	15.3097335
36	1.16378E+16	15.34911238
37	1.08975E+16	14.37269103
38	1.0427E+16	13.75214588
39	1.01819E+16	13.42898947
40	9.50064E+15	12.53041917
41	9.07889E+15	11.97417278
42	8.57636E+15	11.31138603
43	8.58012E+15	11.31633735
44	7.82916E+15	10.32590257
45	7.6434E+15	10.08090305
46	7.35293E+15	9.69779721
47	6.91005E+15	9.11367912
48	6.56343E+15	8.65652695
49	6.42439E+15	8.47314808
50	6.01742E+15	7.93639717
51	5.65844E+15	7.46293618
52	5.42115E+15	7.14996862
53	5.12049E+15	6.75343067
54	4.87127E+15	6.42472849
55	4.62422E+15	6.09889246
56	4.42753E+15	5.83947543
57	4.08754E+15	5.39107113
58	3.90406E+15	5.1490741
59	3.82451E+15	5.04415336
60	3.49056E+15	4.6037066
61	3.2729E+15	4.31663526
62	3.19059E+15	4.20808017
63	2.9968E+15	3.9524884
64	2.80114E+15	3.6944358
65	2.60587E+15	3.43689198
66	2.49225E+15	3.28703779
67	2.35425E+15	3.1050228
68	2.17863E+15	2.87339748
69	2.03908E+15	2.68935298
70	1.94176E+15	2.56099222
71	1.81531E+15	2.39422126
72	1.68237E+15	2.21887752
73	1.59073E+15	2.09801575
74	1.50676E+15	1.98727019
75	1.41186E+15	1.86211123
76	1.31672E+15	1.73662543
77	1.24578E+15	1.64306394
78	1.17264E+15	1.54660413
79	1.10104E+15	1.45216038
80	1.03493E+15	1.36497608
81	9.77878E+14	1.28972644
82	9.22792E+14	1.21707329
83	8.68624E+14	1.14563116
84	8.17246E+14	1.07786842
85	7.72448E+14	1.01878419
86	7.32134E+14	0.96561336
87	6.93958E+14	0.91526358
88	6.55987E+14	0.86518284
89	6.19685E+14	0.81730413
90	5.87283E+14	0.77456889
91	5.57182E+14	0.73486831
92	5.2574E+14	0.69339939
93	4.98393E+14	0.65733126
94	4.72861E+14	0.62365773
95	4.45793E+14	0.58795726
96	4.20876E+14	0.55509426
97	3.98788E+14	0.52596193
98	3.77048E+14	0.49728915
99	3.57205E+14	0.47111819
100	3.38521E+14	0.44647586
101	3.21471E+14	0.42398898
102	3.05164E+14	0.40248179
103	2.90166E+14	0.3827002
104	2.75931E+14	0.36392568
105	2.6239E+14	0.34606727
106	2.49769E+14	0.32942092
107	2.37882E+14	0.31374317
