PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : I1B-123
OPERATOR : Unknown
LATITUDE : 38 30.21 N
LONGITUDE : 17 59.95 E
PRESSURE-TARE : 0.000000
CAST : B
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Wed May 05 11:18:23 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : 11:15
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:44:09
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
34.00000000	0.10598879	0.10633452	0.09144106	0.08208993	0.07867967	0.08290725	0.08718905	0.09121062	0.08471188	0.07022318	0.05052766	0.03496760	0.06179222
35.00000000	0.10501105	0.10367152	0.09020774	0.08083897	0.07753184	0.08314991	0.08583568	0.08921140	0.08151364	0.06758169	0.04734815	0.03169074	0.05931869
36.00000000	0.10317425	0.09977214	0.08790036	0.07795568	0.07461769	0.08031956	0.08258545	0.08559274	0.07660942	0.06128452	0.04193501	0.02549300	0.05382031
37.00000000	0.10436224	0.10065102	0.09059659	0.07893530	0.07561067	0.08000633	0.08329738	0.08583717	0.07491558	0.06134166	0.04239398	0.02703856	0.05365591
38.00000000	0.10849405	0.10534877	0.09703913	0.08451628	0.08133776	0.08360961	0.08891314	0.09084786	0.07743778	0.06602198	0.04931682	0.03736428	0.06043245
39.00000000	0.11192306	0.10920853	0.10145988	0.08889282	0.08597224	0.08700164	0.09303500	0.09389923	0.07818976	0.06904073	0.05400673	0.04556761	0.06647616
40.00000000	0.10978164	0.10720713	0.09847541	0.08657458	0.08491067	0.08392456	0.08951810	0.08907540	0.07124596	0.06353262	0.04653103	0.03962622	0.06178351
41.00000000	0.11110108	0.10838871	0.09748210	0.08803175	0.08677101	0.08371151	0.08937555	0.08835495	0.06863646	0.05874694	0.03887433	0.03224178	0.05657514
42.00000000	0.11461530	0.11193404	0.10036512	0.09209913	0.09021370	0.08633856	0.09226345	0.09061568	0.06937578	0.05932702	0.03714440	0.02966183	0.05516797
43.00000000	0.11579160	0.11311108	0.10137664	0.09323030	0.09052195	0.08686739	0.09223623	0.08957691	0.06778098	0.05677442	0.03307735	0.02516957	0.05106330
44.00000000	0.11742700	0.11457459	0.10224097	0.09282765	0.08921385	0.08700806	0.09180850	0.08824212	0.06578907	0.05443608	0.02957907	0.02129435	0.04673571
45.00000000	0.11745600	0.11474370	0.10190144	0.09003297	0.08722794	0.08599346	0.09104849	0.08700416	0.06418406	0.05248903	0.02547649	0.01678170	0.04083886
