PROSOFT : ProSoft 7.6
CRUISE-ID : Missing
STATION-ID : Missing
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : DRY
REFERENCE : DRY
TIME-STAMP : Mon Apr 26 14:20:55 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 10-Feb-2004 10:49:57
DEGLITCH_PRODAT : ON																															
PRO_NOISE_THRESH : 5																															
UPPER_PRES_LEVEL : 30																															
LOWER_PRES_LEVEL : 200																															
DEGLITCH_REFDAT : OFF																															
PRES_TARE_CORRECTED : 0																															
DEPTH_RESOLUTION : 0.1m																															
BIN_INTERVAL : 1m																															
BIN_WIDTH : 0.5m																															
TIME_INTERVAL : 2sec																															
TIME_WIDTH : 1sec																															
WAVEL_INTERP : 0nm																															

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed
#Datetag	Timetag2	Depth	399.8	412.2	442	470.1	490.4	509.8	531.7	554.5	590.2	619	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2
1999116	142106139	3	1.45950916	1.89328631	1.96032973	1.87400876	1.40827716	0.82913225	0.50244862	0.29719696	0.08355081	0.02134563	0.00867498	0.00625583	0.00458617	1999116	142106291	3	105.9109068	125.1275652	135.6134281	143.2248144	151.4647559	126.7066381	129.7975694	109.7629534	69.35543893	49.60082514	31.71869696	21.34652976	7.74937747
1999116	142106139	4	1.50765893	1.9524533	2.01637144	1.93509939	1.45822425	0.8689707	0.52628994	0.31432317	0.08779798	0.02132123	0.00861501	0.00621056	0.00461799	1999116	142107329	4	93.71769118	112.9176602	116.2283489	123.4347307	133.1370775	112.4359903	109.1935326	90.63151943	53.41916388	28.72812654	15.64114281	11.171016	3.10604941
1999116	142107197	5	1.47625618	1.92168467	1.98783377	1.91167121	1.44024613	0.8475561	0.51011179	0.29954498	0.07903032	0.01796189	0.00714268	0.00519578	0.00428188	1999116	142108433	5	102.6697148	129.0476206	134.6379404	147.3027373	144.66097	126.326114	120.9595741	98.95010304	55.43091592	26.05681276	12.42703031	9.16003019	2.16491377
1999116	142108285	6	1.35954238	1.77453257	1.84985532	1.78179358	1.34176503	0.77887876	0.46017594	0.26581338	0.06703045	0.01436273	0.00578888	0.0041906	0.00379173	1999116	142109462	6	98.49237877	118.5110625	131.0714184	144.2670334	153.1086529	130.7232533	115.8160339	97.77333925	51.51602798	22.12543899	10.07556039	7.11406951	1.39467304
1999116	142109320	7	1.30944341	1.71265999	1.79433601	1.73249829	1.30465174	0.75730705	0.44900267	0.26017619	0.06501312	0.01370555	0.00553122	0.00410852	0.00368184	1999116	142110445	7	86.01712083	104.3587059	110.3378045	121.3576125	124.4663926	103.0786036	93.85741015	75.22261905	36.76871887	13.13289719	5.16864838	3.76287042	0.66632226
1999116	142110309	8	1.23679382	1.61900536	1.7060532	1.64884002	1.2437774	0.71611107	0.41883023	0.23906706	0.05765717	0.0118905	0.00491024	0.00370868	0.00345533	1999116	142111376	8	88.34459099	106.2562824	111.9882208	121.3122223	122.5046227	103.0665899	94.9192683	73.14960412	33.86966722	9.6075459	3.18858209	2.38646295	0.34824271
1999116	142111251	9	1.18854639	1.56488769	1.65694405	1.60883659	1.21190264	0.69136122	0.39985775	0.22624022	0.05189672	0.01039733	0.00441178	0.00337386	0.0032711	1999116	142112349	9	77.61026136	94.10447283	98.94011081	107.2273368	108.9153498	88.03153549	79.45886181	60.3263185	25.07644617	5.9800451	1.6809393	1.30886316	0.21476999
1999116	142112208	10	1.14347784	1.50703213	1.60847991	1.56132251	1.17934647	0.66732902	0.38398598	0.2142715	0.04829552	0.00980013	0.00422851	0.00335399	0.00320879	1999116	142113332	10	83.63840348	99.71039438	109.914536	120.0263182	124.5226422	101.0219335	88.10486361	66.75699614	25.79331241	5.23619813	1.32270908	1.09820885	0.2312452
1999116	142113161	11	1.04811219	1.3963678	1.50621515	1.46913869	1.10386494	0.60643119	0.33795559	0.18403182	0.03806258	0.00766798	0.00344335	0.00265	0.00280108	1999116	142114281	11	79.40325742	95.90426191	104.1268819	113.1186116	114.6720515	90.42447634	78.92630866	57.68155936	19.94403977	3.28294962	0.68060298	0.65478888	0.18039399
1999116	142114151	12	1.06718508	1.41761356	1.53392875	1.49901106	1.13250302	0.6303072	0.3520902	0.19261611	0.04021252	0.00821045	0.00373177	0.00303384	0.00296522	1999116	142115263	12	67.50919203	81.22657452	87.76179974	94.30642055	95.69493775	74.30640811	63.73239139	45.79397546	14.83495987	2.14512512	0.49898618	0.54691506	0.1432151
1999116	142115117	13	1.0074209	1.34551343	1.47215098	1.44073959	1.08878668	0.59645652	0.32953997	0.17678645	0.03486397	0.00712366	0.00326765	0.00259185	0.00271367	1999116	142116322	13	78.55513635	96.14277337	105.287375	114.9170187	115.3771222	88.35513762	76.77437833	54.62947683	16.8761011	2.27239465	0.39275721	0.46596794	0.16422546
1999116	142116150	14	0.94478673	1.26431245	1.3857825	1.36127201	1.02907001	0.56225722	0.31065996	0.16736211	0.0337616	0.00713204	0.0032963	0.0027203	0.00264291	1999116	142117359	14	67.56407244	81.19741803	89.76272914	96.81603085	97.95747353	74.90414929	63.00010112	44.21474902	12.73374132	1.48286268	0.23223681	0.34267944	0.13412691
1999116	142117202	15	0.8680516	1.16584145	1.2907048	1.27139424	0.96006402	0.51719086	0.27961368	0.14786948	0.02859536	0.00606662	0.0028242	0.00225622	0.00236571	1999116	142118312	15	79.88010016	97.53719897	108.9681649	119.0191082	120.8448295	90.74568778	76.26583277	52.58461219	13.86045941	1.34265954	0.18302868	0.35718612	0.16204057
1999116	142118180	16	0.89378668	1.20505317	1.34063968	1.32956982	1.00829237	0.54809988	0.298236	0.15879923	0.03080248	0.00676139	0.00317948	0.00267722	0.00255293	1999116	142119252	16	67.20853554	82.33194914	91.46535416	99.33913219	100.3802715	73.39807958	60.3868976	40.9981417	9.98342508	0.86623249	0.10917571	0.27064707	0.13232788
